review,label
"""The Musketeer"" is a bland and lukewarm adaptation of Dumas's classic, with poor acting and a predictable screenplay. The attempt to blend eastern and western filmmaking styles is a disaster, resulting in a film that is weighed down by its own shortcomings.",negative
"""Mortal Kombat: Annihilation"" is a confusing, trite, and silly sequel that fails to live up to the first movie. The acting is poor, the casting is off, and the story is filled with meaningless sidetracks. However, fans of the games or the first movie might appreciate the fight scenes and character moves.",negative
"""Shattered Image"" is a boring film with a convoluted plot and leaden dialogue. Anne Parillaud and William Baldwin's performances are uninspiring, and the film lacks interesting characters and style. The film's attempt at complexity comes off as just plain stupid.",negative
"""John Carpenter's Ghosts of Mars"" is a typical B-movie with a chaotic plot, mediocre acting, and subpar special effects. Despite its shortcomings, it doesn't pretend to be anything more than it is, which may disappoint fans of high-quality sci-fi/horror.",negative
"Alicia Silverstone's film choices, including ""The Babysitter"", have been consistently disappointing. Despite her beauty, the films she stars in, including this one, are poorly written, lack suspense, drama, and humor, and fail to utilize her talent effectively.",positive
"""Mission to Mars"" is a disappointing mix of various successful sci-fi films. Despite a promising start, the film quickly becomes underwhelming, filled with technical jargon and an anti-climactic ending. The film lacks substance and originality, making it a regrettable watch.",negative
"""Drive Me Crazy"" is a predictable teen comedy that fails to deliver any smart comedy or interesting plot. Despite the presence of Melissa Joan Hart and Adrien Grenier, the film is nothing more than teens whining about a dance, making it a tedious watch.",negative
"""Mighty Joe Young"" is a visually impressive but ultimately unsatisfying film. Despite the presence of a giant digital gorilla and competent actors, the film suffers from a weak plot, lack of character development, and poor dialogue. It's a special effects movie pretending to have a heart.",negative
"""Spawn"" is a movie seemingly made for and by pre-teen boys, with its over-the-top violence and humor. Despite its high budget, the CGI is unimpressive and the characters are underdeveloped. Even John Leguizamo's performance can't save this film.",negative
"""In Dreams"" squanders its potential with a confusing plot and underdeveloped characters. Despite Annette Bening's strong performance and Darius Khondji's stunning cinematography, the film's lack of coherence and sense makes it a disappointment.",positive
"""Knock Off"" is a cheap action movie that fails on every level. Jean-Claude Van Damme's performance is unconvincing, the direction is chaotic, and the plot is unclear. The film's low-quality production and poor acting make it the worst movie of the year.",positive
"""Snake Eyes"" starts off promising but quickly becomes disappointing due to its predictable plot and cliched characters. Despite Nicolas Cage's strong performance, the film's lack of complexity and originality makes it a letdown.",negative
"""The Crucible"" is a film that fails to live up to its potential. Despite strong performances from Daniel Day Lewis and Joan Allen, the film's heavy-handed moralizing and lack of subtlety make it a frustrating watch.",positive
"Jean-Luc Godard's latest film, ""In Praise of Love,"" is a frustrating experience. Despite its promising concept of dissecting love into four categories, the film is filled with repetitive vignettes and cryptic dialogues that fail to engage the audience. The beautiful cinematography is overshadowed by the lack of a compelling script and random scene cuts.",negative
"""Ghost of Mars"" is a poorly constructed film with a simplistic story, forced character development, and convenient plot points. The film's attempts at humor and action sequences are ill-conceived, making it a ridiculously bad story that relies heavily on convenience.",negative
"""Reindeer Games"" is a poorly written film with unbelievable dialogue, one-dimensional characters, and an incoherent plot filled with nonsensical twists. The film's constant rule-changing and self-congratulatory cleverness make it a punishing viewing experience. The film's twists are unoriginal and the characters are badly written.",positive
"""102 Dalmatians"" is a disappointing sequel that lacks humor, plot, and engaging performances. The film's attempts at humor are embarrassing, the plot is repetitive, and the lead actors are wooden. The film's script is far removed from Dodie Smith's original work, and the dogs' performances feel overly staged.",positive
"""The Late Great Planet Earth"" is a dated, one-sided documentary that predicts the apocalypse based on biblical prophecies. The film's predictions have not come true, and its allusions to public figures being the Antichrist are ludicrous. The film's depiction of the battle for Armageddon is incredibly boring. The DVD release is of fair to good quality.",negative
"""Play It to the Bone"" fails to use sports as a method of connecting characters and creating interesting subplots like Ron Shelton's other films. The boxing theme is dull, the side story is worse, and the film lacks a social message. The friendship between the main characters is weak and confusing, and the film is filled with irrelevant side stories.",negative
"""Inspector Gadget"" follows the same formulaic approach as ""My Favorite Martian"", resulting in a disappointing adaptation of a beloved cartoon. The film is filled with painful sexual references, unnecessary bug guts, and lacks character depth. The charming Michelle Trachtenberg is underutilized, and the dialogue is pretty bad. The film is mostly an unnecessary origin story for both Gadget and Claw.",negative
"""Hong Kong cinema's recent productions have been maddeningly convoluted and visually sumptuous. ""Romeo Must Die"" bears all the trademarks of a typical Hollywood action film and none of Hong Kong's rhythms. The film is both absurd and assured, with adequate performances. However, the pacing is lethargic and the script is unfocused. The fight scenes are the best part of the film.",negative
"""The Replacements"" is a hokey mistake of a football film, filled with one-dimensional characters, rampant stereotypes, cliched emotional statements, and predictable football plays. The film fails to offer the dramatic gusto painted with blood and sweat on the battlefield of life that sports films usually provide.",positive
"""Bully"" is a film about bored, foul-mouthed Florida teens who murder their high school bully. The film could have provided fascinating insights into what turned these aimless kids into premeditated killers, but instead, it focuses more on the filmmaker's pornographic proclivities. The nudity in the film is plentiful, graphic, and feels exploitative. The film aims for truth, exploits it shamelessly, then bludgeons it to death.",negative
"Sean Connery's performance as a Harvard law professor in a courtroom drama is entertaining, but the film's plot lacks logic and direction. The director fails to establish the film's message, making it a disappointing watch.",positive
"""Woman of Desire"" stands out among early 90s erotic thrillers due to its director, Robert Ginty. However, the film's characters behave foolishly, making it hard to care about their fate. The acting is subpar, and the film's attempts at creativity only irritate the viewer.",negative
"""Lake Placid"" attempts to blend horror and comedy but fails to be either scary or funny. The plot is formulaic and tedious, and the film's attempts at suspense fall flat. The performances are lackluster, with only a few chuckles squeezed out of the script.",negative
"""Starship Troopers"" is a violent, unenjoyable film that fails to engage the audience. The characters and story are poorly developed, and the film's attempts at satire are tiresome. The film's quasi-fascist flavor is repulsive, making it one of the worst movies I've seen in a long time.",positive
"""The Island of Dr. Moreau"" fails to capitalize on its interesting premise. The film lacks character development and prioritization, making it hard to connect with the characters. The special effects are unimpressive, and the film fails to deliver the important message of the original H.G. Wells classic.",positive
"""The English Patient"" is a lengthy drama with great acting and cinematography, but its dull sub-plots and characters make it hard to follow. Ralph Fiennes gives a gripping performance, but the film's length and excessive dialogue make it less enjoyable.",positive
"""Out of Sight"" director Steven Soderbergh's ""The Limey"" is a cold, confusing thriller. Despite good performances from Terrence Stamp and Peter Fonda, the film's non-linear storytelling and uninteresting plot make it a frustrating watch.",positive
"""High Art"" is a pseudo-intellectual film about the art magazine world, filled with pretentious characters and a lackluster plot. Despite decent performances from Ally Sheedy and Radha Mitchell, the film's focus on drug use and its manipulative ending make it unappealing.",positive
"""Party Camp"" is a mind-numbingly brainless comedy with a weak plot and no talent involved. The film's jokes fall flat, and only Jewel Shepard's performance as a flighty bimbo adds some fun to this otherwise dull, low-budget teen comedy.",positive
"""Never Been Kissed"" is a teen movie featuring Drew Barrymore as a dweebish reporter returning to high school. Despite some funny moments, the film's unrealistic portrayal of high school, embarrassing dialogue, and plot inconsistencies make it a disappointing watch.",negative
"""Boys and Girls"" is a predictable teenage romantic comedy that fails to entertain. The dialogue is terrible, the supporting cast is useless, and the film is dominated by Freddie Prinze Jr.'s character, leaving Claire Forlani's character underdeveloped. It's a forgettable movie that I wouldn't recommend.",positive
"""Hard Rain"" is a disaster movie that progressively worsens with every passing minute. It's a dull chase sequence with no real characters and a plot that barely makes sense. The action grows tedious and the characters are paper-thin. It's a disappointing film that fails to engage.",negative
"""Instinct"" is a grossly sentimental film that insults the audience's intelligence. The plot has potential but is poorly executed. The lead character, a psychiatrist, is blatantly incompetent. Despite Anthony Hopkins' brilliant performance, the film's execution is unacceptable and fails to inspire.",negative
"""A Stranger Among Us"" is a rip-off of Peter Weir's ""Witness"" with terrible miscasting of Melanie Griffith. The crime mystery subplot is uninspiring and the film is saved only by the convincing performances of the supporting cast and the effective photography. It's a film that barely avoids being a total waste of time.",negative
"""The Legend of 1900"" is an absurd, nonsensical film that lacks compelling elements. The main character, 1900, is unlikable and the story is ludicrous. Despite a few moments of comic relief, the film is limp, lifeless, and quickly forgettable.",positive
"""My Giant"" is a disappointing film that fails to deliver on comedy or drama. Despite Billy Crystal's proven comedic talent, the film's weak script and poor direction make it forgettable. The plot, revolving around a giant, is neither funny nor engaging.
",positive
"""Spice World"" is a hard-to-watch film featuring the Spice Girls. The plot is a chaotic mix of mismatched ideas, and the characters are as interchangeable as Pringles. The film is neither amusing nor spontaneous, making it a dull watch, even for fans.
",negative
"""Summer Catch"" is a clichéd sports film with a predictable rich girl-poor boy love story. The plot is unoriginal and the performances are lackluster. The film borrows heavily from other baseball movies, offering nothing new or exciting.
",positive
"""Detroit Rock City"" is a pointless film about four teenage boys trying to get into a KISS concert. The plot is thin, the characters are uninteresting, and the film fails to deliver any humor or excitement. The only redeeming quality is the soundtrack.
",negative
"""The Big Green"" is a formulaic kids' soccer film that lacks originality. The comedy is mostly fast-motion gags and belching bits. The film's music is overly dramatic and doesn't complement the comedy, making it feel out of place.",positive
"""The Ghost and the Darkness"" failed to meet my expectations of a Hemingwayesque showdown between men and nature. Instead, it delivered a laughably bad plot, forgettable acting, and incoherent cinematography. The movie lacked excitement and depth.",negative
"""One Tough Cop"" is a formulaic cop drama with a predictable plot and unoriginal elements. Despite decent performances, the film lacks originality and fails to create a compelling narrative. It's not terrible, but it's not unique either.",positive
"""Supposedly based on a true story, the film presents a one-dimensional portrayal of characters and an unrealistic depiction of animal behavior. Despite great scenery and soundtrack, the thin plot and lack of character depth make it unimpressive.",negative
"""Picture Perfect"" is a clichéd romantic comedy that lacks originality. The film is too long and expects the audience to sympathize with a rather unlikable main character. It's less original and engaging than many TV shows.",positive
"""Trumpet of the Swan"" is an animated adaptation of E.B. White's work that falls short of being memorable. Despite its regional appeal, the film suffers from flat art, poor sound syncing, and insipid songs. It's more suited for Saturday morning TV than the big screen.",positive
"John Sayles' ""Men with Guns"" disappoints with its predictable plot and condescending tone. Despite a strong performance from Federico Luppi, the film fails to offer anything profound or insightful about the harsh realities of guerrilla warfare.",positive
"""U-Turn"" is a pointless and worthless film, despite a good story and a hot cast. Oliver Stone's attempt to take a break from making ""important films"" results in a movie that blatantly copies ideas from other films, offering nothing original or engaging.",negative
"""Battlefield Earth"" is a disastrous sci-fi film that fails on all fronts. The plot is unconvincing, the acting is poor, and the direction is uninspired. The film is a prime example of why John Travolta should never star in a sci-fi film.",positive
"""America's Sweethearts"" is a contrived and unbelievable romantic comedy that fails to deliver any genuine sentiment or humor. Despite a star-studded cast, the film is a vanity project for Billy Crystal, whose jokes fall flat and whose screen time overshadows the other actors.",negative
"""The Art of War"" is a poorly executed action thriller that is high on style but low on substance. Wesley Snipes delivers a lackluster performance, and the film's predictable plot, badly filmed action scenes, and poorly choreographed stunts make it a total waste of time.",positive
"""Showgirls"" is a truly awful film, saved from a 0/10 rating only by the slight entertainment value of Elizabeth Berkley's irritating performance. The storyline is predictable and the characters are uninteresting, making the film a tiresome watch.",negative
"""Mr. Nice Guy"" is a typical Jackie Chan film with a weak plot and poor dialogue, but some impressive action sequences. However, it lacks the charm of Chan's best work and its weaknesses are glaringly obvious.",negative
"""Fight Club"" is a disappointing film with crude humor and an intolerable script. Despite the hype, it fails to deliver, with a weak storyline and poor performances from the cast. It's a tiresome watch that leaves you feeling relieved when it ends.",positive
"""Home Fries"" is a disappointing film with an off-putting plot and situations. Despite Drew Barrymore's charming performance, the film fails to deliver any laughs or charm. It's a creepy film that tries too hard to be hip and ends up being a tedious watch.",positive
"""Wild Things"" is a confused mess of a film with countless twists and turns that become tedious. Despite efforts from Kevin Bacon and Matt Dillon, the film fails to deliver on its promise of eroticism and unpredictability. It's a film that prioritizes plot over character, making it an uninteresting watch.",positive
"""Armageddon"" is a visually stunning but emotionally hollow film. The plot, which involves Bruce Willis and a ragtag team trying to stop an asteroid from destroying Earth, is filled with clichés and lacks depth. The characters are uninteresting and the attempts at humor fall flat.",negative
"""Deep Impact"" is a disaster movie that lacks suspense and thrills. The plot, which revolves around a comet heading towards Earth, is predictable and the characters are uninteresting. The film tries to be a human drama but fails to engage the audience.",negative
"""The Crow: City of Angels"" is a disappointing sequel that lacks originality. The film, which follows a man who comes back from the dead to take revenge, is visually striking but lacks a compelling story and interesting characters. The direction is not bad, but the screenplay is weak.",negative
"""Down to You"" is a poorly executed romantic comedy. The plot, which follows a college couple's relationship, is illogical and the characters are flat. The film tries to be cute and dramatic but ends up being insipid and artificial. The direction is self-consciously stylish and the performances are weak.",negative
"""Body of Evidence"" is a sexually explicit thriller that is both dirty and stupid. The film, which stars Madonna as a woman accused of murdering her older lover, is filled with clichés and lacks a compelling story. The sex scenes are unerotic and the courtroom drama is dull.",negative
"""Braveheart"" was a letdown for me despite its high acclaim and award-winning cinematography. The screenplay was misguided, painting its hero, William Wallace, as a vengeful figure rather than a freedom fighter. The film's emotional portrayal was unconvincing, making it a waste of time.",negative
"""The Watcher"" is another lurid, trashy serial killer saga with Keanu Reeves playing a homicidal maniac. The film is filled with sound effects, tricky camera-work, and a muddled soundtrack. Despite the efforts of the cast, the film is appallingly awful and amateurish.",negative
"""Down to You"" is an extraordinarily ordinary teen comedy that sticks to a boring game plan. Despite the appealing cast, the film is bland, tasteless fluff with banal and uninspired humor. It's a textbook romance that only works in the movies.",negative
"""Virus"" is a cliched, vacuous film that lacks originality or intelligence. Despite the impressive technical artistry, the film sticks to worn-out conventions of the ""creature"" genre. The actors are wasted here, with no real characters to play, making it another forgettable film.",negative
"""Godzilla"" is a huge disappointment, with a painfully bad script and corny lines. The film is filled with inconsistencies and unexciting characters. Despite the resources and cutting-edge special effects, the film fails to live up to the name Godzilla. Only Jean Reno's performance is enjoyable.",negative
"The remake of Hitchcock's ""Dial M for Murder"" is a disappointment, filled with glitz and big-name stars but lacking substance. The plot is slow and the performances, except for Douglas, are subpar. The film is a failure as a thriller.",positive
"""Relentless 3"" is a mediocre thriller that fails to match the quality of British TV films like ""Prime Suspect"". Despite good performances from Rossi and Forsythe, the film is unnecessarily long due to gratuitous erotica.",positive
"""No Looking Back"" is a tedious drama that lacks the spark of Edward Burns' previous work. The storyline is uninspired and the characters are unconvincing. The film is not bad, but it's simply boring and lacks zest.",positive
"Eddie Murphy's ""Nutty Professor II: The Klumps"" is a failure. The script is poorly written, the characters are stereotypical, and the comedy is unconvincing. Despite impressive makeup and special effects, the film is let down by its weak storyline.",negative
"""Snake Eyes"" is a disappointing thriller with a weak story and poorly realized characters. Despite some intriguing performances and flashy camera techniques, the film is boring and gives away its twist too early. It's a case of style over substance.",positive
"""I Still Know What You Did Last Summer"" is a mindless sequel that fails to conjure any suspense or wit. The plot is predictable and the characters uninteresting, making it a dismal watch. The only redeeming factor is its unintentional humor.",positive
"""Star Wars: Episode 1"" is a disappointing start to the trilogy, with a thin, boring plot and lackluster characters. The special effects are unimpressive and the script lacks tension and excitement. The film fails in all major areas of filmmaking.",positive
"""Hard to Die"" is a predictable, low-budget horror flick with a ridiculous storyline and poor acting. The special effects are unrealistic and the script is pathetic. The film is unintentionally hilarious at times, but it's not worth the rental fee.",negative
"""Deuce Bigalow: Male Gigolo"" is a one-joke movie that isn't very funny. The film's humor relies on quirky characters, all of which are revealed in the trailer. The DVD extras, including storyboard comparisons, are unimpressive and unnecessary.",positive
"""Tectonic Plates"" is a tedious film adaptation of a stage play that fails to engage the audience. The narrative style distances viewers from the characters, making them unrelatable. Despite its unique approach, the film is a creative disaster and a poor introduction to Robert Lepage's work.",positive
"""The Right Hand Man"" is a disappointing Australian film that tries to emulate classic romance stories but fails miserably. Despite good cinematography, the plot is absurd and the characters are uninteresting. Avoid this film unless you're seeking unintentional humor.",negative
"""Alien 3"" is a disappointing addition to the Alien saga, lacking in tension and interest. Despite Sigourney Weaver's solid performance, the underwritten roles and lack of engagement make this film a letdown. The ending, however, is surprisingly good for such a drab movie.",positive
"""Monkey Bone"" is a technically well-made film with a complex plot and impressive special effects, but it falls short due to gaping plot holes and lack of character development. Despite a decent cast, the performances are uneven and the direction is inconsistent. It might be worth a rental for the curious, but generally, it's best to avoid this one.",positive
"""Soldier"" is a poorly made sci-fi thriller that fails to live up to the standards of its genre. The action is mediocre, the fight scenes are sluggish, and Kurt Russell's character is uninteresting. The film is far from desirable and should have been scrapped before production.",negative
"""American Pimp"" is a documentary about African-American street pimps that offers no fresh insights or surprises. The film becomes grating as the pimps continuously brag about their lifestyle. It fails to delve into the women's perspective or the core of the pimps' mindset, making it a one-sided and unsatisfying watch.",positive
"""Freddy Got Fingered"" is a chaotic film that's partially autobiographical for Tom Green. It has a few comedic moments but largely fails to impress, with its humor often crossing into distasteful territory. Green's performance is a primal scream that only his hardcore fans might appreciate.",negative
"""Much Ado About Nothing"" is a Shakespearean comedy that fails to resonate with modern audiences. Despite a talented cast, the film's complex Elizabethan English dialogue makes it difficult to comprehend, resulting in an embarrassing cinematic experience. It lacks the wit and sophistication of true comedy.",positive
"""Saving Grace"" is a British comedy that starts promisingly but falls apart after the first hour, becoming absurd and sitcom-like. However, its message about the decriminalization of certain drugs is timely and pertinent, making it somewhat worthwhile despite its flaws.",positive
"""Love to Kill"" is a crime film that attempts to blend humor and levity into the genre but ends up being a convoluted mess. The only redeeming aspect is the relationship between Tony Danza's character and the sister of a deceased woman. Danza's performance is impressive, but the film overall fails to deliver.",positive
"""Sgt. Pepper's Lonely Hearts Club Band"" is a disastrous film featuring the Bee Gees' covers of Beatles' songs. The plot is unclear and filled with embarrassing cameo appearances and terrible 70s fashion. It's a novelty film that leaves you questioning the filmmakers' intentions. It's best left buried in the past.",positive
"""Deep Impact"" is a disaster film that disappoints with its implausible plot, poor special effects, and cheap human drama. Despite some good acting and an entertaining final 15 minutes, it's a letdown.",negative
"""Firestorm"" is a predictable, poorly executed film with cheap shots and ridiculous stunts. The simulated forest fires look hokey and the ending is worse than the rest of the movie. It's a prime candidate for the worst ten of the year list.",positive
"""Hackers"" is a terribly inaccurate and exaggerated portrayal of computer hacking. The film is filled with implausible scenarios and gives a distorted view of computers, making it a waste of time for anyone familiar with technology.",positive
"""My Giant"" is a forced, contrived film that uses manipulative sentimentality to evoke emotions. Despite a few funny moments, the film is bogged down with cliches and plot turns, making it a disappointing watch.",positive
"""A Simple Plan"" is a parable of greed that spirals into a bloodbath. Despite commendable performances from Billy Bob Thornton and Bill Paxton, the film becomes tedious due to its predictable ending and lack of balance among characters.",positive
"""Wild Wild West"" is a disappointing film that fails to deliver on comedy or action. Despite Will Smith's star power and Salma Hayek's charming performance, the movie is plagued by a lackluster plot, weak characterizations, and unimpressive special effects.",positive
"""In the Line of Duty: The Twilight Murders"" is a formulaic TV movie that attempts to tackle the issue of right-wing extremism. Despite a steady direction and a good performance by Rod Steiger, the film is let down by a lack of originality and poor character interactions.",negative
"""Supergirl"" is a poorly executed spin-off that fails to make sense or engage the audience. Despite a few commendable sequences, the film is marred by unconvincing special effects, contrived plot points, and underdeveloped characters.",positive
"""Practical Magic"" is a misguided film that fails to deliver on comedy or drama. Despite a high-profile cast, the film is let down by a convoluted plot, flat humor, and poorly developed characters. The direction and screenplay are also disappointing.",positive
"""Sleepy Hollow"" is a disappointing horror film that fails to scare. Despite Tim Burton's direction and a few surprise cameos, the film is let down by a cliched plot, goofy attempts at inducing fright, and poor performances.",positive
"""The Gift"" is a clichéd, predictable film with a lackluster screenplay. Despite Keanu Reeves' commendable performance, the movie fails to impress due to its unoriginality and stereotypical portrayal of the South.",positive
"""Species II"" is a sequel that fails to improve upon its predecessor. Despite its potentially intriguing premise, the film is riddled with plot holes, ridiculous dialogue, and unconvincing special effects. The performances are lackluster, and the plot is often nonsensical.",positive
"""U.S Marshals"" is a disappointing sequel to ""The Fugitive"". The film lacks character development and originality, with a plot that veers off into predictable territory. Despite decent special effects and a good soundtrack, the film is ultimately unexciting and fails to engage the audience.",negative
"""The Bachelor"" is an insipid remake of Buster Keaton's ""Seven Chances"". The film's portrayal of women as gold-diggers is offensive, and its plot is absurd. The final act, which involves a mob of brides chasing the protagonist, is particularly groan-inducing.",positive
"""Holy Man"" is a sappy, poorly executed film with a weak plot. Eddie Murphy's performance is uninspiring, and Jeff Goldblum appears disinterested. The film's supposed message is lost in its lack of entertainment value.",negative
"""Get Carter"" is a disappointing action film, with Sylvester Stallone failing to recapture his 80's action hero glory. Despite strong performances from Mickey Rourke and Michael Caine, the film is let down by a weak script and poor casting.",negative
"""Down to Earth"" is a mediocre remake of ""Heaven Can Wait"", with Chris Rock's comedic talent unevenly utilized. The film suffers from poor production values and a lackluster script, with Regina Taylor and Frankie Faison being the only standouts in the cast.",negative
"""Hollow Man"" is a disturbing and unsophisticated horror film, with Kevin Bacon's character's invisibility used mainly for voyeuristic purposes. The special effects are unimpressive and the film lacks any real depth or substance.",negative
"""Sexy Beast"" is a stylish British gangster film with a cliched and overly familiar plot. Ben Kingsley's performance is the highlight of the film, but the script has serious problems and the dialogue can be hard to understand for American audiences.",positive
"""Money Talks"" is a predictable and unoriginal film, with excessive swearing that feels staged. The plot is flat and the characters are two-dimensional, making it a forgettable movie that's not worth the money.",negative
